,Title,Year,Genre,Rating,Director,Votes
222,Shadow Hearts II,2004.0,"['Action', 'Adventure', 'Fantasy']",8.9,Matsuzo Machida,173
223,Nocturne,1999.0,"['Action', 'Adventure', 'Horror']",8.9,Lynn Mathis,126
224,Star Wars: Knights of the Old Republic II - The Sith Lords,2004.0,"['Action', 'Adventure', 'Drama']",8.9,Sara Kestelman,4944
225,Quest for Glory I: So You Want to Be a Hero,1989.0,"['Adventure', 'Fantasy']",8.9,Lori Ann Cole,114
226,Sly 2: Band of Thieves,2004.0,"['Action', 'Adventure', 'Comedy']",8.9,Kevin Miller,1048
227,Azel: Panzer Dragoon RPG,1998.0,['Adventure'],8.9,Atsushi Goto,137
228,Warcraft III: The Frozen Throne,2003.0,"['Action', 'Adventure', 'Fantasy']",8.9,Nicholas S. Carpenter,3227
229,Eternal Arcadia,2000.0,"['Action', 'Adventure', 'Fantasy']",8.9,Atsusi Seimiya,242
230,Snatcher,1988.0,"['Animation', 'Action', 'Adventure']",8.9,Hideo Kojima,234
231,Eternal Darkness: Sanity's Requiem,2002.0,"['Action', 'Adventure', 'Fantasy']",8.9,Denis Dyack,772
232,The Elder Scrolls III: Morrowind,2002.0,"['Action', 'Adventure', 'Fantasy']",8.9,Todd Howard,3220
233,Thief: The Dark Project,1998.0,"['Action', 'Adventure', 'Crime']",8.9,Daniel Thron,662
234,Master of Orion II: Battle at Antares,1996.0,['Sci-Fi'],8.9,,142
235,Undying,2001.0,"['Action', 'Horror', 'Mystery']",8.9,Brady Bell,904
236,The Operative: No One Lives Forever,2000.0,"['Action', 'Adventure', 'Comedy']",8.9,Craig Hubbard,612
237,Snatcher CD-ROMantic,1992.0,"['Adventure', 'Horror', 'Sci-Fi']",8.9,Hideo Kojima,151
238,Warcraft III: Reign of Chaos,2002.0,"['Action', 'Adventure', 'Fantasy']",8.9,Nicholas S. Carpenter,3404
239,Policenauts,1994.0,"['Action', 'Crime', 'Mystery']",8.9,Hideo Kojima,128
240,Tenchi souzou,1995.0,"['Adventure', 'Fantasy']",8.9,Tomoyoshi Miyazaki,204
241,Xenogears,1998.0,"['Animation', 'Action', 'Adventure']",8.9,Tetsuya Takahashi,620
242,Poketto monsutâ aka,1996.0,"['Action', 'Adventure', 'Family']",8.9,Satoshi Tajiri,2343
243,Broken Sword: The Shadow of the Templars,1996.0,"['Adventure', 'Mystery', 'Romance']",8.9,Charles Cecil,1047
244,Mother 2: Gîgu no gyakushuu,1994.0,"['Adventure', 'Comedy', 'Fantasy']",8.9,Shigesato Itoi,924
